image,domain,num_detections,mean_confidence,latency_sec
000001.png,blurred,0,0.0,1.8488094806671143
000001.png,deblurred,0,0.0,0.009372472763061523
000001.png,sharp,4,0.5246674045920372,0.044335365295410156
000002.png,blurred,2,0.4705484211444855,0.009548425674438477
000002.png,deblurred,1,0.518860936164856,0.008840560913085938
000002.png,sharp,2,0.5271612405776978,0.008486747741699219
000003.png,blurred,2,0.5882038027048111,0.009938955307006836
000003.png,deblurred,1,0.40793418884277344,0.008655786514282227
000003.png,sharp,6,0.46593472361564636,0.008628368377685547
000004.png,blurred,4,0.4135008752346039,0.009948492050170898
000004.png,deblurred,0,0.0,0.008135557174682617
000004.png,sharp,5,0.482464063167572,0.008574962615966797
000005.png,blurred,2,0.3897348493337631,0.014838695526123047
000005.png,deblurred,0,0.0,0.015093564987182617
000005.png,sharp,5,0.476690536737442,0.013920307159423828
000006.png,blurred,0,0.0,0.011286020278930664
000006.png,deblurred,0,0.0,0.009865999221801758
000006.png,sharp,4,0.5620594248175621,0.011082649230957031
000007.png,blurred,3,0.3678995966911316,0.012738227844238281
000007.png,deblurred,1,0.5416138768196106,0.011031389236450195
000007.png,sharp,3,0.5597531994183859,0.010798215866088867
000008.png,blurred,0,0.0,0.011183977127075195
000008.png,deblurred,1,0.4272758364677429,0.010690450668334961
000008.png,sharp,5,0.4573303461074829,0.010300636291503906
000009.png,blurred,1,0.44432035088539124,0.012153863906860352
000009.png,deblurred,1,0.5220715403556824,0.01066136360168457
000009.png,sharp,5,0.4513512313365936,0.010786056518554688
000010.png,blurred,2,0.4645094871520996,0.015441417694091797
000010.png,deblurred,1,0.6682183742523193,0.016668319702148438
000010.png,sharp,4,0.4370473399758339,0.01431131362915039
000011.png,blurred,1,0.2913217544555664,0.01635146141052246
000011.png,deblurred,0,0.0,0.014134407043457031
000011.png,sharp,4,0.4560706987977028,0.01478266716003418
000012.png,blurred,1,0.374482125043869,0.016445636749267578
000012.png,deblurred,0,0.0,0.012520074844360352
000012.png,sharp,6,0.4364536950985591,0.009682893753051758
000013.png,blurred,1,0.4593740701675415,0.0099639892578125
000013.png,deblurred,0,0.0,0.008893966674804688
000013.png,sharp,4,0.5014267638325691,0.00861978530883789
000014.png,blurred,2,0.4085013419389725,0.009613275527954102
000014.png,deblurred,0,0.0,0.009077310562133789
000014.png,sharp,5,0.5044207751750946,0.008705854415893555
000015.png,blurred,2,0.49399586021900177,0.00964808464050293
000015.png,deblurred,0,0.0,0.008007287979125977
000015.png,sharp,5,0.4659179627895355,0.008463382720947266
000016.png,blurred,5,0.3610273540019989,0.009591341018676758
000016.png,deblurred,0,0.0,0.008263349533081055
000016.png,sharp,4,0.480569489300251,0.010059356689453125
